ioc,ioc_type,threat_type,malware,confidence_level,reference,first_seen,last_seen,source,collection_date
2025-12-17 13:32:36,"""1681470""","""mickstatham.com""","""domain""","""payload_delivery""","""js.fakeupdates""","""FakeUpdate",GhoLoader,ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 13:31:59,"""1681468""","""chi.botick.top""","""domain""","""botnet_cc""","""win.vidar""","""None""","""Vidar""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 13:31:18,"""1681465""","""xyrmiskisxyr.cc""","""domain""","""payload_delivery""","""js.fakeupdates""","""FakeUpdate",GhoLoader,ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 13:30:50,"""1681464""","""pdeterstars.com""","""domain""","""payload_delivery""","""js.fakeupdates""","""FakeUpdate",GhoLoader,ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 13:27:58,"""1681463""","""zlojs.v0rtapouch.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 13:17:40,"""1681462""","""ie.quartz-mug.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 13:08:24,"""1681461""","""sky.quartz-mug.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 12:58:39,"""1681458""","""hush.quartz-mug.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 12:48:19,"""1681454""","""nexus.quartz-mug.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 12:35:59,"""1681453""","""pixel.fl0wlatch.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 12:21:38,"""1681452""","""wo35.fl0wlatch.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 12:06:40,"""1681451""","""o3.fl0wlatch.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 12:04:04,"""1681445""","""doorforum.com""","""domain""","""botnet_cc""","""win.plugx""","""Destroy RAT",Kaba,ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 12:00:37,"""1681436""","""grannyboosted-38861.portmap.host""","""domain""","""botnet_cc""","""win.xworm""","""None""","""XWorm""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 11:56:56,"""1681433""","""spark.fl0wlatch.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 11:47:36,"""1681432""","""wind.sn1pbarrel.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 11:37:16,"""1681431""","""omega.sn1pbarrel.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 11:23:30,"""1681430""","""quartz.sn1pbarrel.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 11:14:12,"""1681429""","""yfzsx.sn1pbarrel.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 10:58:14,"""1681409""","""x2.bramblefix.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 10:43:49,"""1681408""","""bramble.bramblefix.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
